symbol,calendarYear,GPM,A (SGA),B (RD),C (PPE),D (DEPR),E (CAPEX),F (NR),currentRatio,G (ROA),H (LD/GP),debtToEquity,Net Issuance,Interest - income,Buy =1
AMZN,2015,0.205081958,0.3190248348,0.5714285714,0.9951241741,0.2862155388,-7.69966443,10.77684564,1.075960943,0.009107022798,0.3752563226,0.6152869097,0,0.2055530676,1
AMZN,2014,0.1738436643,0.3803490627,0.5995475113,1.096767938,0.3067873303,20.30290456,-23.28630705,1.115276443,-0.004421612696,0.5342598578,0.7694814263,0,1.179775281,1
AMZN,2013,0.1569601891,0.3647099093,0.5617833305,0.9369330823,0.2783672771,-12.56934307,17.39781022,1.071583986,0.006822879056,0.2730617833,0.3274163759,0,0.189261745,1
AMZN,2012,0.1424549457,0.3796392049,0.5244168677,0.8112145237,0.2480753763,97.05128205,-86.25641026,1.120724134,-0.001197972662,0.3543605653,0.3764648438,-192,0.1360946746,1
AMZN,2011,0.2244108409,0.6362035406,0.2696264714,0.4093984614,0.1003800167,-2.870047544,4.074484945,1.174140709,0.02496241791,0.02363518398,0.03287353358,-55.4,0.06397637795,1
AMZN,2010,0.2234533973,0.575297658,0.226874264,0.3158445637,0.07431636792,-0.8498263889,1.377604167,1.325395295,0.06128637549,0.02407431637,0.02680652681,0,0.02579365079,1
AMZN,2009,0.225672202,0.5532453444,0.2241909239,0.2332308805,0.06834207196,-0.4135254989,1.095343681,1.330391092,0.06530080359,0.01970710541,0.02073425908,0,0.02761982128,1
AMZN,2008,0.2227903579,0.5665105386,0.2419203747,0.2,0.06721311475,-0.5162790698,1.282170543,1.297302992,0.07757998557,0.09578454333,0.1530688623,-25,0.08679706601,1
AMZN,2007,0.2260195484,0.5580077542,0.2439606323,0.1619445273,0.07336713391,-0.4705882353,1.481092437,1.390414647,0.0734001542,0.3823441694,1.07101086,-62,0.1159638554,1
AMZN,2006,0.2292969844,0.5679967427,0.2695439739,0.1860749186,0.08346905537,-1.136842105,2.1,1.332148499,0.04354801742,0.5077361564,2.893271462,-63,0.1954887218,1
AMZN,2005,0.2401648999,0.5669445807,0.2211868563,0.170671898,0.05934281511,-0.5682451253,0.7632311978,1.518403318,0.09713203463,0.745953899,6.182926829,16.5,0,1
AMZN,2004,0.2314648603,0.5732476403,0.1568011675,0.1536557185,0.047268503,-0.1514705557,0.3383459285,1.567141447,0.1811450056,1.158128885,-8.165621383,14.67146693,0,1
AMZN,2003,0.2388373651,0.6171585659,0.1652993077,0.1784049546,0.06229079964,-1.302732271,3.743240179,1.453506463,0.01631889985,1.547477346,-1.877642946,40.48636589,0,1
AMZN,2002,0.2523860037,0.6707776808,0.2172205219,0.2411783788,0.08840460278,0.2626062817,-0.7529034681,1.515703245,-0.0749237986,2.294241088,-1.683383673,31.3712297,0,1
AMZN,2001,0.2557486422,0.9868600653,0.3020006061,0.3403021446,0.1627107862,0.08870622289,0,1.310941661,-0.3464187593,2.70003306,-1.497314583,31.20471597,0,1
AMZN,2000,0.2374297742,1.90664052,0.4106975389,0.5587509169,0.4922679508,0.0954868406,0,1.396092747,-0.6609654786,3.244188192,-2.199495271,12.516662,0,1
AMZN,1999,0.1772399608,2.506858883,0.5495432572,1.092786733,0.9706618039,0.3987052202,0,1.36977948,-0.2913021014,5.045116895,5.506793652,18.67584009,0,1
AMZN,1998,0.2194129142,1.486794032,0.3497209375,0.2225850076,0.09024140585,0.2274902446,0,2.625740368,-0.1920642754,2.601146136,2.509207539,9.018204645,0,1
AMZN,1997,0.2273342355,1.494047619,0.3720238095,0.2767857143,0.1398809524,0.2608695652,0,3.134703196,-0.1852348993,2.282738095,2.69122807,2.222225929,0,1
AMZN,1996,0.2356687898,2.621621622,0,0.2702702703,0.08108108108,0.2068965517,0,1.692234097,-0.6987951807,2.046282175,0.4937255052,4.696973741,0,0
AXP,2020,0.70434,0.572399,0,0.227067,0.0698633,-0.4714513557,13.85454545,1.719672229,0.01638213485,1.94399,1.868778281,-6.118012422,0,0
AXP,2019,0.683315,0.482669,0,0.176933,0.043483,-0.2433791981,8.402722296,0.203780654,0.04780428463,2.11595,2.505743141,-28.21472393,0,0
AXP,2018,0.689802,0.465214,0,0.173088,0.05068,-0.1892790059,8.413090594,0.7939355747,0.03669632347,2.28919,2.620188425,-9.4,0,0
AXP,2017,0.702439,0.466061,0,0.181944,0.0555205,-0.3881578947,20.71966374,0.8363290218,0.01510275504,2.34443,3.06035003,-24.83139535,0,0
AXP,2016,0.694974,0.49658575,0,0.189758,0.0548867,-0.2542529586,9.259060651,0.8236253036,0.034035483,2.17339,2.290912638,-23.50276243,0,0
AXP,2015,0.694974,0.49658575,0,0.189758,0.0548867,-0.2597327135,9.044160372,0.7512925906,0.03217844923,2.23074,2.323417017,-22.09793814,0,0
